make,year,vehicle_numbers,vehicle_percentage_of_total
YIBEN MEIDUO,2019,10,0.00%
ZHONGNENG,2019,10,0.00%
CECTEK,2022,9,0.00%
CHUNLAN,2018,9,0.00%
CHUNLAN,2021,9,0.00%
CTM,2022,9,0.00%
DAYANG,2018,9,0.00%
EAGLE,2019,9,0.00%
ETON,2018,9,0.00%
EUCLID,2018,9,0.00%
EUCLID,2020,9,0.00%
EUCLID,2021,9,0.00%
FACTORY,2020,9,0.00%
GAZ,2021,9,0.00%
GOKA,2020,9,0.00%
HSUN,2018,9,0.00%
HUASHA,2018,9,0.00%
KAZUMA,2022,9,0.00%
LVTONG,2021,9,0.00%
MEGELLI,2021,9,0.00%
MIA,2019,9,0.00%
MODENAS,2018,9,0.00%
MODENAS,2019,9,0.00%
MOKE AUTOMIBILI,2019,9,0.00%
MOSKVICH,2018,9,0.00%
NFM,2022,9,0.00%
POLSKI-FIAT,2019,9,0.00%
POR,2021,9,0.00%
SANBEN,2022,9,0.00%
SHENKE,2018,9,0.00%
SIAMOTO,2022,9,0.00%
SONIK,2021,9,0.00%
SUPERMOTO,2022,9,0.00%
SUZUKI BIKES,2018,9,0.00%
SUZUKI BIKES,2021,9,0.00%
SUZUKI BIKES,2022,9,0.00%
URSUS,2020,9,0.00%
URSUS,2021,9,0.00%
URSUS,2022,9,0.00%
VERTIGO,2020,9,0.00%
XINGYUE,2022,9,0.00%
YIBEN MEIDUO,2021,9,0.00%
YUAN,2020,9,0.00%
Z Y MOTOR,2018,9,0.00%
ALKE,2021,8,0.00%
AVANTI,2018,8,0.00%
BRA,2022,8,0.00%
BRITISH TRACKSTAR,2020,8,0.00%
CAKE,2022,8,0.00%
CH RACING,2020,8,0.00%
CHONGQING,2019,8,0.00%
CLASSIC CUSTOM,2021,8,0.00%
CLASSIC CUSTOM,2022,8,0.00%
CLASSIC REPLICAS,2019,8,0.00%
CLASSIC REPLICAS,2020,8,0.00%
CLASSIC REPLICAS,2021,8,0.00%
DAJIANG,2020,8,0.00%
DAJIANG,2021,8,0.00%
DAYUN,2021,8,0.00%
FEIYING,2019,8,0.00%
GOKA,2019,8,0.00%
GOKA,2021,8,0.00%
HERCHE,2018,8,0.00%
HERCHE,2020,8,0.00%
HONGYI,2019,8,0.00%
KASSBOHRER,2019,8,0.00%
KOENIGSEGG,2022,8,0.00%
LE VOYAGEUR,2018,8,0.00%
LIGIER,2020,8,0.00%
LIN-HAI,2018,8,0.00%
MODENAS,2022,8,0.00%
MOXY,2020,8,0.00%
MOXY,2021,8,0.00%
NORTON VILLIERS,2019,8,0.00%
POR,2019,8,0.00%
POR,2022,8,0.00%
SANYANG,2021,8,0.00%
SAXON,2021,8,0.00%
SKYWING,2021,8,0.00%
SLINGSHOT,2022,8,0.00%
TAISHAN,2022,8,0.00%
VALPADANA,2018,8,0.00%
XINGYUE,2021,8,0.00%
Z Y MOTOR,2022,8,0.00%
ZENNCO,2018,8,0.00%
ATALA,2021,7,0.00%
AVANTI,2019,7,0.00%
AVANTI,2020,7,0.00%
BRA,2021,7,0.00%
BRITISH TRACKSTAR,2019,7,0.00%
CH RACING,2021,7,0.00%
CHONGQING,2021,7,0.00%
CHUNLAN,2020,7,0.00%
CLASSIC CUSTOM,2018,7,0.00%
CLASSIC CUSTOM,2019,7,0.00%
CLASSIC REPLICAS,2018,7,0.00%
CLASSIC REPLICAS,2022,7,0.00%
DIAMOND,2022,7,0.00%
ECOOTER,2019,7,0.00%
EOS,2018,7,0.00%
EVT,2021,7,0.00%
EVT,2022,7,0.00%
FEIYING,2020,7,0.00%
GAZ,2019,7,0.00%
GSMOON,2020,7,0.00%
HAMMERHEAD,2021,7,0.00%
HONGYI,2021,7,0.00%
JIANGLING,2018,7,0.00%
JIANGLING,2019,7,0.00%
JM STAR,2022,7,0.00%
KANUNI,2021,7,0.00%
KAZUMA,2020,7,0.00%
KEEN,2020,7,0.00%
KEEN,2021,7,0.00%
KOENIGSEGG,2018,7,0.00%
KOENIGSEGG,2019,7,0.00%
MODEC,2022,7,0.00%
MOXY,2022,7,0.00%
NOBLE,2018,7,0.00%
POLARIS INDUSTRIES,2018,7,0.00%
POLSKI-FIAT,2018,7,0.00%
PS MOTOR MANET,2022,7,0.00%
ROLLER TEAM,2018,7,0.00%
SANYANG,2018,7,0.00%
SAXON,2018,7,0.00%
SKYWING,2019,7,0.00%
STROMER,2018,7,0.00%
STROMER,2019,7,0.00%
STUART TAYLOR,2021,7,0.00%
SUPERMOTO,2018,7,0.00%
TAISHAN,2020,7,0.00%
UAZ,2018,7,0.00%
VULCAN,2022,7,0.00%
YUAN,2018,7,0.00%
YUAN,2019,7,0.00%
ATALA,2022,6,0.00%
BARONI,2018,6,0.00%
BARONI,2022,6,0.00%
BRA,2020,6,0.00%
CHONGQING,2022,6,0.00%
CLASSIC CUSTOM,2020,6,0.00%
DAYANG,2019,6,0.00%
DIAMOND,2018,6,0.00%
DIAMOND,2020,6,0.00%
DIAMOND,2021,6,0.00%
ETESIA,2022,6,0.00%
EVT,2020,6,0.00%
FACTORY,2019,6,0.00%
FARBOUD,2018,6,0.00%
GAZ,2018,6,0.00%
GEHL,2020,6,0.00%
GIBBS TECHNOLOGIES,2021,6,0.00%
GSMOON,2018,6,0.00%
GSMOON,2019,6,0.00%
HERCHE,2019,6,0.00%
HUASHA,2020,6,0.00%
HUASHA,2021,6,0.00%
IBC,2019,6,0.00%
KEEN,2019,6,0.00%
KOENIGSEGG,2020,6,0.00%
KOENIGSEGG,2021,6,0.00%
MARTIN CONQUEST,2018,6,0.00%
MODEC,2020,6,0.00%
MODEC,2021,6,0.00%
NECHT,2018,6,0.00%
NOBLE,2021,6,0.00%
OVER,2018,6,0.00%
PAXSTER,2022,6,0.00%
POCLAIN,2018,6,0.00%
POCLAIN,2019,6,0.00%
POCLAIN,2020,6,0.00%
POCLAIN,2021,6,0.00%
PS MOTOR MANET,2018,6,0.00%
SANYANG,2020,6,0.00%
SAXON,2019,6,0.00%
SHENKE,2019,6,0.00%
SINSKI,2020,6,0.00%
SUMOTO,2022,6,0.00%
SUPERMOTO,2021,6,0.00%
SWITCH,2022,6,0.00%
TAM,2018,6,0.00%
TAM,2019,6,0.00%
TAM,2021,6,0.00%
TIPPEN DELTA,2022,6,0.00%
TROMOX,2021,6,0.00%
UAZ,2019,6,0.00%
VALPADANA,2020,6,0.00%
VDL BOVA,2020,6,0.00%
VERTEMATI,2018,6,0.00%
YIBEN MEIDUO,2022,6,0.00%
AIE,2018,5,0.00%
AIE,2019,5,0.00%
AIE,2020,5,0.00%
ATALA,2020,5,0.00%
AVANTI,2021,5,0.00%
AVANTI,2022,5,0.00%
AXR,2018,5,0.00%
BRA,2019,5,0.00%
BRITISH TRACKSTAR,2022,5,0.00%
CENNTRO,2022,5,0.00%
CHUNLAN,2022,5,0.00%
DAJIANG,2022,5,0.00%
DAYUN,2022,5,0.00%
DIAMOND,2019,5,0.00%
EAGLE,2018,5,0.00%
EOS,2019,5,0.00%
ERIK BUELL RACING,2018,5,0.00%
ERIK BUELL RACING,2019,5,0.00%
ETON,2019,5,0.00%
EUROTRAC,2018,5,0.00%
EUROTRAC,2019,5,0.00%
EUROTRAC,2020,5,0.00%
EUROTRAC,2021,5,0.00%
EVT,2019,5,0.00%
FARBOUD,2020,5,0.00%
FARBOUD,2021,5,0.00%
FEIYING,2021,5,0.00%
GEM,2018,5,0.00%
GOVECS,2018,5,0.00%
HAMMERHEAD,2018,5,0.00%
HAMMERHEAD,2020,5,0.00%
HAMMERHEAD,2022,5,0.00%
HIMO,2018,5,0.00%
HIMO,2019,5,0.00%
HIMO,2020,5,0.00%
HONGYI,2018,5,0.00%
HONGYI,2022,5,0.00%
HUASHA,2019,5,0.00%
HUASHA,2022,5,0.00%
IBC,2020,5,0.00%
KANUNI,2022,5,0.00%
KASEA,2018,5,0.00%
KASSBOHRER,2021,5,0.00%
KEEN,2022,5,0.00%
KINLON,2020,5,0.00%
KINLON,2022,5,0.00%
LEIKE,2018,5,0.00%
MOKE AUTOMIBILI,2018,5,0.00%
NECHT,2019,5,0.00%
NOBLE,2019,5,0.00%
PAXSTER,2021,5,0.00%
POCLAIN,2022,5,0.00%
PS MOTOR MANET,2019,5,0.00%
SANYANG,2019,5,0.00%
SAXON,2020,5,0.00%
SAXON,2022,5,0.00%
SHENKE,2021,5,0.00%
SINSKI,2018,5,0.00%
SKYWING,2020,5,0.00%
STUART TAYLOR,2022,5,0.00%
SUPERMOTO,2020,5,0.00%
TAISHAN,2021,5,0.00%
TAM,2022,5,0.00%
TIPPEN DELTA,2020,5,0.00%
TIPPEN DELTA,2021,5,0.00%
TORROT,2022,5,0.00%
UAZ,2020,5,0.00%
VALPADANA,2019,5,0.00%
VALPADANA,2022,5,0.00%
VENTURI,2018,5,0.00%
ADDAX,2022,4,0.00%
AIE,2021,4,0.00%
APEX,2021,4,0.00%
APEX,2022,4,0.00%
ASQUITH,2019,4,0.00%
ASQUITH,2022,4,0.00%
ATALA,2018,4,0.00%
AXR,2019,4,0.00%
BARONI,2020,4,0.00%
BRA,2018,4,0.00%
BRITISH TRACKSTAR,2018,4,0.00%
BRITISH TRACKSTAR,2021,4,0.00%
CSR,2018,4,0.00%
CSR,2020,4,0.00%
DAIMLER CHRYSLER,2019,4,0.00%
DAX,2018,4,0.00%
DAX,2021,4,0.00%
DAYANG,2021,4,0.00%
DIRT PRO,2021,4,0.00%
DOOHAN,2020,4,0.00%
ECO NECO,2020,4,0.00%
EGO,2020,4,0.00%
EGO,2021,4,0.00%
EGO,2022,4,0.00%
EUROTRAC,2022,4,0.00%
FACTORY,2018,4,0.00%
FARBOUD,2019,4,0.00%
FARBOUD,2022,4,0.00%
HERCHE,2021,4,0.00%
HERCHE,2022,4,0.00%
HIGER,2021,4,0.00%
HIGER,2022,4,0.00%
HONGYI,2020,4,0.00%
HOUSEHAM,2021,4,0.00%
IBC,2018,4,0.00%
IBC,2022,4,0.00%
JAGUAR LAND ROVER,2018,4,0.00%
JAGUAR LAND ROVER,2019,4,0.00%
JAGUAR LAND ROVER,2020,4,0.00%
JAGUAR LAND ROVER,2021,4,0.00%
JAGUAR LAND ROVER,2022,4,0.00%
JAXIN,2022,4,0.00%
JIANGLING,2020,4,0.00%
JORDAN,2018,4,0.00%
JORDAN,2019,4,0.00%
JORDAN,2021,4,0.00%
JORDAN,2022,4,0.00%
KANGDA,2018,4,0.00%
KINLON,2021,4,0.00%
LEIKE,2020,4,0.00%
LONSDALE,2018,4,0.00%
LONSDALE,2019,4,0.00%
MANET,2020,4,0.00%
MARTIN CONQUEST,2019,4,0.00%
MARTIN CONQUEST,2020,4,0.00%
MEGELLI,2022,4,0.00%
NECHT,2020,4,0.00%
NOBLE,2020,4,0.00%
OVER,2019,4,0.00%
OVER,2020,4,0.00%
OVER,2021,4,0.00%
OVER,2022,4,0.00%
PEGASO,2019,4,0.00%
PEGASO,2021,4,0.00%
PS MOTOR MANET,2020,4,0.00%
SAITING,2018,4,0.00%
SANLI,2019,4,0.00%
SANYANG,2022,4,0.00%
SFMM,2021,4,0.00%
SHENKE,2020,4,0.00%
SUPERMOTO,2019,4,0.00%
TEC,2018,4,0.00%
TIPPEN DELTA,2018,4,0.00%
TIPPEN DELTA,2019,4,0.00%
UGBEST,2022,4,0.00%
VALPADANA,2021,4,0.00%
VENTURI,2019,4,0.00%
VERTEMATI,2019,4,0.00%
VERTEMATI,2022,4,0.00%
VOLVO TRUCKS,2018,4,0.00%
VOLVO TRUCKS,2019,4,0.00%
VOLVO TRUCKS,2020,4,0.00%
WARRIOR,2021,4,0.00%
YUAN,2022,4,0.00%
ZENNCO,2019,4,0.00%
ZENNCO,2020,4,0.00%
AGCO ALLIS,2018,3,0.00%
AGCO ALLIS,2019,3,0.00%
AGCO ALLIS,2020,3,0.00%
AIE,2022,3,0.00%
ARRIVAL,2021,3,0.00%
ASQUITH,2018,3,0.00%
BARON,2019,3,0.00%
BARONI,2019,3,0.00%
BARONI,2021,3,0.00%
BLUESHARK,2022,3,0.00%
CSR,2019,3,0.00%
CSR,2022,3,0.00%
DAIMLER CHRYSLER,2018,3,0.00%
DAX,2020,3,0.00%
DAX,2022,3,0.00%
DIRT PRO,2019,3,0.00%
DIRT PRO,2022,3,0.00%
DOOHAN,2019,3,0.00%
DOOHAN,2021,3,0.00%
ECO,2018,3,0.00%
ECO,2019,3,0.00%
ECO NECO,2021,3,0.00%
ECO NECO,2022,3,0.00%
ERIK BUELL RACING,2020,3,0.00%
FEIYING,2022,3,0.00%
GAMAX,2020,3,0.00%
GEELY,2018,3,0.00%
GEM,2020,3,0.00%
GSMOON,2021,3,0.00%
HAMMERHEAD,2019,3,0.00%
HARDI,2021,3,0.00%
HARDI,2022,3,0.00%
HIMO,2021,3,0.00%
HIMO,2022,3,0.00%
IBC,2021,3,0.00%
JAXIN,2020,3,0.00%
JAXIN,2021,3,0.00%
JCM,2021,3,0.00%
JORDAN,2020,3,0.00%
KASEA,2022,3,0.00%
KINGTON,2018,3,0.00%
KINLON,2018,3,0.00%
LEIKE,2019,3,0.00%
LEIKE,2021,3,0.00%
LONSDALE,2020,3,0.00%
LONSDALE,2021,3,0.00%
MANET,2018,3,0.00%
MK SPORTSCARS,2019,3,0.00%
MK SPORTSCARS,2020,3,0.00%
MK SPORTSCARS,2021,3,0.00%
MOTOMEL,2018,3,0.00%
MOTOMEL,2021,3,0.00%
MOTRON,2022,3,0.00%
NOBLE,2022,3,0.00%
NOBLE AUTOMOTIVE,2018,3,0.00%
NORTON VILLIERS,2018,3,0.00%
NORTON VILLIERS,2021,3,0.00%
PEGASO,2020,3,0.00%
PEGASO,2022,3,0.00%
PLAXTON,2018,3,0.00%
PRAGA,2021,3,0.00%
PRAGA,2022,3,0.00%
RENEGADE,2018,3,0.00%
RENEGADE,2021,3,0.00%
SAITING,2020,3,0.00%
SFMM,2019,3,0.00%
SFMM,2020,3,0.00%
SFMM,2022,3,0.00%
SHENKE,2022,3,0.00%
SINSKI,2022,3,0.00%
SWAP,2018,3,0.00%
TEC,2019,3,0.00%
TEC,2021,3,0.00%
TIGER,2019,3,0.00%
UGBEST,2021,3,0.00%
VENTURI,2020,3,0.00%
VERTEMATI,2020,3,0.00%
VOLVO BUS,2020,3,0.00%
VOLVO BUS,2021,3,0.00%
VOLVO BUS,2022,3,0.00%
VOR,2019,3,0.00%
VOR,2020,3,0.00%
VOXAN,2020,3,0.00%
WARRIOR,2019,3,0.00%
WARRIOR,2020,3,0.00%
YINHUA,2018,3,0.00%
ZENNCO,2021,3,0.00%
ZENNCO,2022,3,0.00%
AGCO ALLIS,2021,2,0.00%
AGCO ALLIS,2022,2,0.00%
APEX,2018,2,0.00%
APEX,2019,2,0.00%
APEX,2020,2,0.00%
ARO,2022,2,0.00%
ASQUITH,2020,2,0.00%
ASQUITH,2021,2,0.00%
ATALA,2019,2,0.00%
AXR,2020,2,0.00%
AXR,2022,2,0.00%
BARON,2018,2,0.00%
BARON,2020,2,0.00%
BARON,2022,2,0.00%
CCS,2020,2,0.00%
CENNTRO,2021,2,0.00%
CHANG MING,2020,2,0.00%
CHANG MING,2021,2,0.00%
CHANG MING,2022,2,0.00%
DAIMLER CHRYSLER,2020,2,0.00%
DAIMLER CHRYSLER,2021,2,0.00%
DAX,2019,2,0.00%
DAYANG,2020,2,0.00%
DOOHAN,2018,2,0.00%
DOOHAN,2022,2,0.00%
ECO,2020,2,0.00%
EGO,2018,2,0.00%
EGO,2019,2,0.00%
EOS,2021,2,0.00%
ERIK BUELL RACING,2021,2,0.00%
ETON,2020,2,0.00%
ETON,2021,2,0.00%
ETON,2022,2,0.00%
FUJI HEAVY IND,2022,2,0.00%
GAMAX,2019,2,0.00%
GEHL,2022,2,0.00%
GEM,2019,2,0.00%
GEM,2021,2,0.00%
GEM,2022,2,0.00%
GOODYEAR,2018,2,0.00%
GOODYEAR,2019,2,0.00%
GOODYEAR,2020,2,0.00%
GOODYEAR,2022,2,0.00%
GORDON MURRAY,2020,2,0.00%
GSMOON,2022,2,0.00%
HC&E HOMOLOGATION,2020,2,0.00%
HC&E HOMOLOGATION,2021,2,0.00%
HC&E HOMOLOGATION,2022,2,0.00%
IM GROUP,2020,2,0.00%
IM GROUP,2021,2,0.00%
IM GROUP,2022,2,0.00%
JAXIN,2018,2,0.00%
JCM,2018,2,0.00%
JCM,2019,2,0.00%
JCM,2020,2,0.00%
JIANGLING,2021,2,0.00%
KANGDA,2019,2,0.00%
KANGDA,2020,2,0.00%
KARMANN,2021,2,0.00%
KARMANN,2022,2,0.00%
KASEA,2019,2,0.00%
KASEA,2021,2,0.00%
KASSBOHRER,2020,2,0.00%
KINGTON,2021,2,0.00%
KINLON,2019,2,0.00%
KOLLTER,2021,2,0.00%
LMX BIKES,2021,2,0.00%
LMX BIKES,2022,2,0.00%
LONSDALE,2022,2,0.00%
LTI CARBODIES,2018,2,0.00%
LTI CARBODIES,2019,2,0.00%
LTI CARBODIES,2020,2,0.00%
LTI CARBODIES,2021,2,0.00%
LUCKY,2020,2,0.00%
MANET,2021,2,0.00%
MANET,2022,2,0.00%
MARTIN CONQUEST,2021,2,0.00%
MARTIN CONQUEST,2022,2,0.00%
MASAI,2022,2,0.00%
MIG,2018,2,0.00%
MIG,2020,2,0.00%
MK SPORTSCARS,2018,2,0.00%
MONIKA,2018,2,0.00%
MONIKA,2021,2,0.00%
MOTOMEL,2019,2,0.00%
MOTOMEL,2020,2,0.00%
MOTOMEL,2022,2,0.00%
MOTRON,2021,2,0.00%
NECHT,2021,2,0.00%
NECHT,2022,2,0.00%
NOBLE AUTOMOTIVE,2020,2,0.00%
NORTON VILLIERS,2020,2,0.00%
NORTON VILLIERS,2022,2,0.00%
PEGASO,2018,2,0.00%
PILGRIM,2018,2,0.00%
PILGRIM,2019,2,0.00%
PILGRIM,2020,2,0.00%
PLAXTON,2019,2,0.00%
PLAXTON,2021,2,0.00%
PLAXTON,2022,2,0.00%
PRAGA,2018,2,0.00%
QWIC,2022,2,0.00%
RAIDER,2018,2,0.00%
RAIDER,2019,2,0.00%
RAIDER,2020,2,0.00%
RAIDER,2021,2,0.00%
RENEGADE,2020,2,0.00%
RENEGADE,2022,2,0.00%
ROVIGO,2018,2,0.00%
RUF,2019,2,0.00%
RUF,2020,2,0.00%
RUF,2022,2,0.00%
SAITING,2019,2,0.00%
SAITING,2022,2,0.00%
SANLI,2018,2,0.00%
SFMM,2018,2,0.00%
SPYKER,2018,2,0.00%
SPYKER,2019,2,0.00%
STRATHCARRON,2018,2,0.00%
SWAP,2022,2,0.00%
TEC,2020,2,0.00%
TEC,2022,2,0.00%
TIGER,2018,2,0.00%
TIGER,2021,2,0.00%
TIGER,2022,2,0.00%
UNI CARRIERS,2021,2,0.00%
UVM,2019,2,0.00%
VENTURI,2021,2,0.00%
VENTURI,2022,2,0.00%
VERTEMATI,2021,2,0.00%
VOLVO BUS,2018,2,0.00%
VOLVO BUS,2019,2,0.00%
VOLVO TRUCKS,2021,2,0.00%
VOXAN,2018,2,0.00%
VOXAN,2019,2,0.00%
VOXAN,2021,2,0.00%
WARRIOR,2018,2,0.00%
WARRIOR,2022,2,0.00%
WHITBY MORRISON,2018,2,0.00%
WHITBY MORRISON,2019,2,0.00%
WHITBY MORRISON,2020,2,0.00%
WHITBY MORRISON,2021,2,0.00%
WHITBY MORRISON,2022,2,0.00%
WIESMANN,2018,2,0.00%
WIESMANN,2021,2,0.00%
XINTIAN,2018,2,0.00%
YAMOTO,2018,2,0.00%
YAMOTO,2019,2,0.00%
YAMOTO,2020,2,0.00%
YAMOTO,2021,2,0.00%
YAMOTO,2022,2,0.00%
YINHUA,2019,2,0.00%
YINHUA,2021,2,0.00%
YINHUA,2022,2,0.00%
ALFER,2018,1,0.00%
ALFER,2019,1,0.00%
ALFER,2020,1,0.00%
ALFER,2021,1,0.00%
ARO,2018,1,0.00%
ARO,2019,1,0.00%
ARO,2020,1,0.00%
ARO,2021,1,0.00%
AXR,2021,1,0.00%
BABETTA,2018,1,0.00%
BABETTA,2019,1,0.00%
BABETTA,2020,1,0.00%
BABETTA,2021,1,0.00%
BABETTA,2022,1,0.00%
BAIMO,2021,1,0.00%
BAIMO,2022,1,0.00%
BARON,2021,1,0.00%
BEAUFORD,2018,1,0.00%
BEAUFORD,2019,1,0.00%
BRABUS,2018,1,0.00%
BRABUS,2019,1,0.00%
BRABUS,2020,1,0.00%
BRABUS,2021,1,0.00%
BRONTO,2018,1,0.00%
BRONTO,2019,1,0.00%
BRONTO,2020,1,0.00%
BRONTO,2021,1,0.00%
BRONTO,2022,1,0.00%
BULLIT MOTORCYCLES,2020,1,0.00%
CAMI,2018,1,0.00%
CCS,2019,1,0.00%
CELCO PROFIL,2018,1,0.00%
CELCO PROFIL,2019,1,0.00%
CELCO PROFIL,2020,1,0.00%
CELCO PROFIL,2022,1,0.00%
CHANG MING,2018,1,0.00%
CHANG MING,2019,1,0.00%
CHARGE,2022,1,0.00%
CHUANL,2018,1,0.00%
CHUANL,2019,1,0.00%
CHUANL,2020,1,0.00%
CHUANL,2021,1,0.00%
CKR,2018,1,0.00%
CKR,2019,1,0.00%
CKR,2020,1,0.00%
CKR,2021,1,0.00%
CKR,2022,1,0.00%
CSR,2021,1,0.00%
DAIFO,2022,1,0.00%
DAIMLER CHRYSLER,2022,1,0.00%
DAYANG,2022,1,0.00%
DAYI MOTOR,2021,1,0.00%
DIRT PRO,2018,1,0.00%
ECO,2021,1,0.00%
ECO,2022,1,0.00%
ECO NECO,2019,1,0.00%
EOS,2022,1,0.00%
EPC,2018,1,0.00%
EPC,2019,1,0.00%
EPC,2020,1,0.00%
EPC,2022,1,0.00%
ETRUSCO,2019,1,0.00%
EUROLINER,2018,1,0.00%
FUJI HEAVY IND,2020,1,0.00%
FUJI HEAVY IND,2021,1,0.00%
FUTONG,2018,1,0.00%
GAMAX,2021,1,0.00%
GAMAX,2022,1,0.00%
GEHL,2021,1,0.00%
GIBBS TECHNOLOGIES,2018,1,0.00%
GM ITALIA,2019,1,0.00%
GM ITALIA,2021,1,0.00%
GM ITALIA,2022,1,0.00%
GOODYEAR,2021,1,0.00%
GORDON MURRAY,2018,1,0.00%
GORDON MURRAY,2019,1,0.00%
GORDON MURRAY,2022,1,0.00%
GWM,2018,1,0.00%
GWM,2019,1,0.00%
GWM,2020,1,0.00%
GWM,2021,1,0.00%
GWM,2022,1,0.00%
HARDI,2019,1,0.00%
HARDI,2020,1,0.00%
HC&E HOMOLOGATION,2019,1,0.00%
HOHENESTER,2022,1,0.00%
HONGYAN,2018,1,0.00%
HONGYAN,2019,1,0.00%
HONGYAN,2022,1,0.00%
IM GROUP,2018,1,0.00%
IM GROUP,2019,1,0.00%
JIANGLING,2022,1,0.00%
JLG,2021,1,0.00%
JLG,2022,1,0.00%
KANGDA,2021,1,0.00%
KARMANN,2018,1,0.00%
KARMANN,2019,1,0.00%
KARMANN,2020,1,0.00%
KASEA,2020,1,0.00%
KAWATA,2018,1,0.00%
KAWATA,2020,1,0.00%
KINGTON,2019,1,0.00%
KINGTON,2020,1,0.00%
KOLLTER,2020,1,0.00%
KOLLTER,2022,1,0.00%
LDV LIMITED,2018,1,0.00%
LDV LIMITED,2019,1,0.00%
LDV LIMITED,2020,1,0.00%
LEIKE,2022,1,0.00%
LMX BIKES,2020,1,0.00%
LTI CARBODIES,2022,1,0.00%
LUCKY,2019,1,0.00%
LUCKY,2021,1,0.00%
LUEGO,2018,1,0.00%
LUEGO,2019,1,0.00%
LUEGO,2021,1,0.00%
MAGYAR SUZUKI,2018,1,0.00%
MAKE MISSING,2018,1,0.00%
MAKE MISSING,2019,1,0.00%
MAKE MISSING,2020,1,0.00%
MAKE MISSING,2021,1,0.00%
MAKE MISSING,2022,1,0.00%
MASAI,2019,1,0.00%
MIG,2019,1,0.00%
MIG,2021,1,0.00%
MIG,2022,1,0.00%
MK SPORTSCARS,2022,1,0.00%
MONIKA,2019,1,0.00%
MONIKA,2020,1,0.00%
MONIKA,2022,1,0.00%
MOTO AUPA,2021,1,0.00%
MOTO AUPA,2022,1,0.00%
MOTOR JIKOV,2018,1,0.00%
MOTOR JIKOV,2022,1,0.00%
MOTRON,2018,1,0.00%
MOTRON,2019,1,0.00%
MOTRON,2020,1,0.00%
NILSSON,2018,1,0.00%
NILSSON,2019,1,0.00%
NILSSON,2020,1,0.00%
NILSSON,2021,1,0.00%
NILSSON,2022,1,0.00%
NOBLE AUTOMOTIVE,2019,1,0.00%
NOBLE AUTOMOTIVE,2021,1,0.00%
OXYGEN,2020,1,0.00%
OXYGEN,2021,1,0.00%
OXYGEN,2022,1,0.00%
PENTA,2018,1,0.00%
PENTA,2019,1,0.00%
PENTA,2020,1,0.00%
PENTA,2021,1,0.00%
PENTA,2022,1,0.00%
PILGRIM,2021,1,0.00%
PILGRIM,2022,1,0.00%
PLA,2022,1,0.00%
PRAGA,2019,1,0.00%
PRAGA,2020,1,0.00%
QWIC,2021,1,0.00%
RAIDER,2022,1,0.00%
RAVO,2022,1,0.00%
RENEGADE,2019,1,0.00%
ROBIN HOOD,2018,1,0.00%
ROBIN HOOD,2019,1,0.00%
ROBIN HOOD,2020,1,0.00%
ROBIN HOOD,2021,1,0.00%
ROBIN HOOD,2022,1,0.00%
ROVIGO,2022,1,0.00%
RUF,2018,1,0.00%
RUF,2021,1,0.00%
SAIC,2022,1,0.00%
SAITING,2021,1,0.00%
SAN,2022,1,0.00%
SANILI,2018,1,0.00%
SANLI,2020,1,0.00%
SANLI,2021,1,0.00%
SANLI,2022,1,0.00%
SAO,2018,1,0.00%
SAO,2019,1,0.00%
SATURN,2018,1,0.00%
SINSKI,2019,1,0.00%
SINSKI,2021,1,0.00%
SPYKER,2020,1,0.00%
STRATHCARRON,2019,1,0.00%
SUNDIRO,2020,1,0.00%
SUNDIRO,2022,1,0.00%
SWAP,2019,1,0.00%
SWAP,2020,1,0.00%
TAM,2020,1,0.00%
TAYAKO,2021,1,0.00%
TAYAKO,2022,1,0.00%
THINK,2018,1,0.00%
THINK GLOBAL,2018,1,0.00%
THINK GLOBAL,2019,1,0.00%
TIANYING,2018,1,0.00%
TIANYING,2019,1,0.00%
TIANYING,2021,1,0.00%
TIANYING,2022,1,0.00%
TIGER,2020,1,0.00%
UVM,2018,1,0.00%
UVM,2020,1,0.00%
UVM,2022,1,0.00%
VICON,2018,1,0.00%
VICON,2019,1,0.00%
VICON,2020,1,0.00%
VICON,2021,1,0.00%
VICON,2022,1,0.00%
VINTAGE,2018,1,0.00%
VINTAGE,2019,1,0.00%
VINTAGE,2020,1,0.00%
VINTAGE,2021,1,0.00%
VONROAD,2018,1,0.00%
VOR,2021,1,0.00%
VOR,2022,1,0.00%
VOXAN,2022,1,0.00%
WIESMANN,2020,1,0.00%
WIESMANN,2022,1,0.00%
WINGATE + ROGERS,2018,1,0.00%
WINGATE + ROGERS,2019,1,0.00%
WINGATE + ROGERS,2020,1,0.00%
WINGATE + ROGERS,2021,1,0.00%
WINGATE + ROGERS,2022,1,0.00%
XINTIAN,2019,1,0.00%
XINTIAN,2020,1,0.00%
YAMATI,2022,1,0.00%
YINHUA,2020,1,0.00%
ZAP,2022,1,0.00%
ZHONGHUA,2018,1,0.00%
ZHONGHUA,2019,1,0.00%
